
2021-09-02 20:51:20.179904, 107.173.204.98, United States, New York, 42.893, -78.8753
2021-09-04 11:57:48.805081, 74.91.26.26, United States, Missouri, 39.1374, -94.5786
2021-09-09 11:25:14.128692, 66.249.64.242, United States, California, 37.422, -122.084
2021-09-09 23:50:02.186827, 66.249.64.242, United States, California, 37.422, -122.084
2021-09-13 16:11:21.674667, 66.249.72.82, United States, California, 37.422, -122.084
2021-09-13 16:28:24.376116, 103.253.25.165, Singapore, , 1.29546, 103.79
2021-09-14 23:08:03.512274, 138.219.121.248, United States, New Jersey, 40.8492, -73.9735
2021-09-17 14:57:48.651770, 66.249.64.78, United States, California, 37.422, -122.084
2021-09-25 16:28:05.351423, 147.182.252.201, United States, California, 37.3931, -121.962
2021-09-27 16:04:34.537577, 116.202.128.228, Germany, Saxony, 50.475, 12.365
