
2021-09-02 20:51:57.570234, 107.173.204.98, United States, New York, 42.893, -78.8753
2021-09-04 11:57:50.938573, 74.91.26.26, United States, Missouri, 39.1374, -94.5786
2021-09-14 09:20:57.430585, 66.249.72.80, United States, California, 37.422, -122.084
2021-09-14 23:08:25.958232, 138.219.121.248, United States, New Jersey, 40.8492, -73.9735
2021-09-15 19:09:11.812115, 66.249.64.74, United States, California, 37.422, -122.084
2021-09-17 03:42:47.727736, 66.249.64.95, United States, California, 37.422, -122.084
2021-09-17 13:27:40.569658, 66.249.64.78, United States, California, 37.422, -122.084
2021-09-17 17:54:45.462119, 66.249.64.127, United States, California, 37.422, -122.084
2021-09-25 16:29:16.129710, 161.35.91.105, Netherlands, North Holland, 52.352, 4.9392
2021-09-27 14:25:53.329681, 66.249.64.84, United States, California, 37.422, -122.084
